Mississippi St.,Louisiana Tech,14,22
Mississippi St.,Southeastern La.,34,10
Mississippi St.,Auburn,2,3
Mississippi St.,Georgia Tech,7,38
Mississippi St.,LSU,24,34
Mississippi St.,Vanderbilt,17,14
Mississippi St.,Tennessee,3,34
Mississippi St.,Middle Tenn. St.,31,22
Mississippi St.,Kentucky,13,14
Mississippi St.,Alabama,7,32
Mississippi St.,Arkansas,31,28
Mississippi St.,Mississippi,0,45
Alabama,Clemson,34,10
Alabama,Tulane,20,6
Alabama,Western Ky.,41,7
Alabama,Arkansas,49,14
Alabama,Georgia,41,30
Alabama,Kentucky,17,14
Alabama,Mississippi,24,20
Alabama,Tennessee,29,9
Alabama,Arkansas St.,35,0
Alabama,LSU,27,21
Alabama,Auburn,36,0
Alabama,Florida,20,31
Alabama,Utah,17,31
Arkansas,Western Ill.,28,24
Arkansas,La.-Monroe,28,27
Arkansas,Texas,10,52
Arkansas,Florida,7,38
Arkansas,Auburn,25,22
Arkansas,Kentucky,20,21
Arkansas,Mississippi,21,23
Arkansas,Tulsa,30,23
Arkansas,South Carolina,21,34
Arkansas,LSU,31,30
Auburn,La.-Monroe,34,0
Auburn,Southern Miss.,27,13
Auburn,LSU,21,26
Auburn,Tennessee,14,12
Auburn,Vanderbilt,13,14
Auburn,West Virginia,17,34
Auburn,Mississippi,7,17
Auburn,Tenn.-Martin,37,20
Auburn,Georgia,13,17
Florida,Hawaii,56,10
Florida,Miami (Fla.),26,3
Florida,Tennessee,30,6
Florida,Mississippi,30,31
Florida,LSU,51,21
Florida,Kentucky,63,5
Florida,Georgia,49,10
Florida,Vanderbilt,42,14
Florida,South Carolina,56,6
Florida,Citadel,70,19
Florida,Florida St.,45,15
Florida,Oklahoma,24,14
Georgia,Ga. Southern,45,21
Georgia,Central Mich.,56,17
Georgia,South Carolina,14,7
Georgia,Arizona St.,27,10
Georgia,Tennessee,26,14
Georgia,Vanderbilt,24,14
Georgia,LSU,52,38
Georgia,Kentucky,42,38
Georgia,Georgia Tech,42,45
Georgia,Michigan St.,24,12
Kentucky,Louisville,27,2
Kentucky,Norfolk St.,38,3
Kentucky,Middle Tenn. St.,20,14
Kentucky,Western Ky.,41,3
Kentucky,South Carolina,17,24
Kentucky,Vanderbilt,24,31
Kentucky,Tennessee,10,28
Kentucky,East Caro.,25,19
LSU,Appalachian St.,41,13
LSU,North Texas,41,3
LSU,South Carolina,24,17
LSU,Tulane,35,10
LSU,Troy,40,31
LSU,Mississippi,13,31
LSU,Georgia Tech,38,3
Mississippi,Memphis,41,24
Mississippi,Wake Forest,28,30
Mississippi,Samford,34,10
Mississippi,Vanderbilt,17,23
Mississippi,South Carolina,24,31
Mississippi,La.-Monroe,59,0
Mississippi,Texas Tech,47,34
Missouri,Illinois,52,42
Missouri,Southeast Mo. St.,52,3
Missouri,Nevada,69,17
Missouri,Buffalo,42,21
Missouri,Nebraska,52,17
Missouri,Oklahoma St.,23,28
Missouri,Texas,31,56
Missouri,Colorado,58,0
Missouri,Baylor,31,28
Missouri,Kansas St.,41,24
Missouri,Iowa St.,52,20
Missouri,Kansas,37,40
Missouri,Oklahoma,21,62
Missouri,Northwestern,30,23
South Carolina,North Carolina St.,34,0
South Carolina,Vanderbilt,17,24
South Carolina,Wofford,23,13
South Carolina,UAB,26,13
South Carolina,Tennessee,27,6
South Carolina,Clemson,14,31
South Carolina,Iowa,10,31
Tennesee,UCLA,24,27
Tennesee,UAB,35,3
Tennesee,Florida,6,30
Tennesee,Auburn,12,14
Tennesee,Northern Ill.,13,9
Tennesee,Georgia,14,26
Tennesee,Mississippi St.,34,3
Tennesee,Alabama,9,29
Tennesee,South Carolina,6,27
Tennesee,Wyoming,7,13
Tennesee,Vanderbilt,20,10
Tennesee,Kentucky,28,10
Texas A&M,Arkansas St.,14,18
Texas A&M,New Mexico,28,22
Texas A&M,Miami (Fla.),23,41
Texas A&M,Army,21,17
Texas A&M,Oklahoma St.,28,56
Texas A&M,Kansas St.,30,44
Texas A&M,Texas Tech,25,43
Texas A&M,Iowa St.,49,35
Texas A&M,Colorado,24,17
Texas A&M,Oklahoma,28,66
Texas A&M,Baylor,21,41
Texas A&M,Texas,9,49
Vanderbilt,Miami (Ohio),34,13
Vanderbilt,Rice,38,21
Vanderbilt,Duke,7,10
Vanderbilt,Tennessee,10,20
Vanderbilt,Wake Forest,10,23
Vanderbilt,Boston College,16,14
