Mississippi St.,Oklahoma St.,3,21
Mississippi St.,Alcorn St.,51,7
Mississippi St.,Auburn,20,24
Mississippi St.,Troy,62,7
Mississippi St.,LSU,26,59
Mississippi St.,Bowling Green,21,20
Mississippi St.,Kentucky,28,22
Mississippi St.,South Carolina,16,34
Mississippi St.,Texas A&M,41,51
Mississippi St.,Alabama,7,20
Mississippi St.,Arkansas,24,17
Mississippi St.,Mississippi,17,10
Mississippi St.,Rice,44,7
Alabama,Virginia Tech,35,10
Alabama,Texas A&M,49,42
Alabama,Colorado St.,31,6
Alabama,Mississippi,25,0
Alabama,Georgia St.,45,3
Alabama,Kentucky,48,7
Alabama,Arkansas,52,0
Alabama,Tennessee,45,10
Alabama,LSU,38,17
Alabama,Chattanooga,49,0
Alabama,Auburn,28,34
Alabama,Oklahoma,31,45
Arkansas,La.-Lafayette,34,14
Arkansas,Samford,31,21
Arkansas,Southern Miss.,24,3
Arkansas,Rutgers,24,28
Arkansas,Texas A&M,33,45
Arkansas,Florida,10,30
Arkansas,South Carolina,7,52
Arkansas,Auburn,17,35
Arkansas,Mississippi,24,34
Arkansas,LSU,27,31
Auburn,Washington St.,31,24
Auburn,Arkansas St.,38,9
Auburn,LSU,21,35
Auburn,Mississippi,30,22
Auburn,Western Caro.,62,3
Auburn,Texas A&M,45,41
Auburn,Fla. Atlantic,45,10
Auburn,Tennessee,55,23
Auburn,Georgia,43,38
Auburn,Missouri,59,42
Auburn,Florida St.,31,34
Florida,Toledo,24,6
Florida,Miami (Fla.),16,21
Florida,Tennessee,31,17
Florida,Kentucky,24,7
Florida,LSU,6,17
Florida,Missouri,17,36
Florida,Georgia,20,23
Florida,Vanderbilt,17,34
Florida,South Carolina,14,19
Florida,Ga. Southern,20,26
Florida,Florida St.,7,37
Georgia,Clemson,35,38
Georgia,South Carolina,41,30
Georgia,North Texas,45,21
Georgia,LSU,44,41
Georgia,Tennessee,34,31
Georgia,Missouri,26,41
Georgia,Vanderbilt,27,31
Georgia,Appalachian St.,45,6
Georgia,Kentucky,59,17
Georgia,Georgia Tech,41,34
Georgia,Nebraska,19,24
Kentucky,Western Ky.,26,35
Kentucky,Miami (Ohio),41,7
Kentucky,Louisville,13,27
Kentucky,South Carolina,28,35
Kentucky,Alabama St.,48,14
Kentucky,Missouri,17,48
Kentucky,Vanderbilt,6,22
Kentucky,Tennessee,14,27
LSU,TCU,37,27
LSU,UAB,56,17
LSU,Kent St.,45,13
LSU,Mississippi,24,27
LSU,Furman,48,16
LSU,Texas A&M,34,10
LSU,Iowa,21,14
Mississippi,Vanderbilt,39,35
Mississippi,Southeast Mo. St.,31,13
Mississippi,Texas,44,23
Mississippi,Texas A&M,38,41
Mississippi,Idaho,59,14
Mississippi,Troy,51,21
Mississippi,Missouri,10,24
Mississippi,Georgia Tech,25,17
Missouri,Murray St.,58,14
Missouri,Toledo,38,23
Missouri,Indiana,45,28
Missouri,Arkansas St.,41,19
Missouri,Vanderbilt,51,28
Missouri,South Carolina,24,27
Missouri,Tennessee,31,3
Missouri,Texas A&M,28,21
Missouri,Oklahoma St.,41,31
South Carolina,North Carolina,27,10
South Carolina,Vanderbilt,35,25
South Carolina,UCF,28,25
South Carolina,Tennessee,21,23
South Carolina,Coastal Caro.,70,10
South Carolina,Clemson,31,17
South Carolina,Wisconsin,34,24
Tennesee,Austin Peay,45,0
Tennesee,Western Ky.,52,20
Tennesee,Oregon,14,59
Tennesee,Florida,17,31
Tennesee,South Ala.,31,24
Tennesee,Georgia,31,34
Tennesee,South Carolina,23,21
Tennesee,Alabama,10,45
Tennesee,Missouri,3,31
Tennesee,Auburn,23,55
Tennesee,Vanderbilt,10,14
Tennesee,Kentucky,27,14
Texas A&M,Rice,52,31
Texas A&M,Sam Houston St.,65,28
Texas A&M,Southern Methodist,42,13
Texas A&M,Vanderbilt,56,24
Texas A&M,UTEP,57,7
Texas A&M,Duke,52,48
Vanderbilt,Austin Peay,38,3
Vanderbilt,Massachusetts,24,7
Vanderbilt,UAB,52,24
Vanderbilt,Tennessee,14,10
Vanderbilt,Wake Forest,23,21
Vanderbilt,Houston,41,24
