Mississippi St.,Charleston So.,49,0
Mississippi St.,Louisana Tech,57,21
Mississippi St.,LSU,37,7
Alabama,Florida St.,24,7
Alabama,Fresno St.,41,10
Alabama,Colorado St.,41,23
Arkansas,Florida A&M,49,7
Arkansas,TCU,7,28
Auburn,Ga. Southern,41,7
Auburn,Clemson,6,14
Auburn,Mercer,24,10
Florida,Michigan,17,33
Florida,Tennessee,26,20
Georgia,Appalachian St.,31,10
Georgia,Notre Dame,20,19
Georgia,Samford,42,14
Kentucky,Southern Miss.,24,17
Kentucky,Eastern Ky.,27,16
Kentucky,Southern Carolina,23,13
LSU,Brigham Young,27,0
LSU,Chattanooga,45,10
Mississippi,South Ala.,47,27
Mississippi,Tenn.-Martin,45,23
Mississippi,California,16,27
Missouri,Southwest Mo. St.,72,43
Missouri,South Carolina,13,31
Missouri,Purdue,3,35
South Carolina,North Carolina St.,35,28
Tennessee,Georgia Tech,42,41
Tennessee,Indiana St.,42,7
Texas A&M,UCLA,44,45
Texas A&M,Nicholls St.,24,14
Texas A&M,La.-Lafayette,45,21
Vanderbilt,Middle Tenn. St.,28,6
Vanderbilt,Alabama A&M,42,0
Vanderbilt,Kansas St.,14,7
