Mississippi St.,Southern Miss.,49,0
Mississippi St.,UAB,47,34
Mississippi St.,South Ala.,35,3
Mississippi St.,LSU,34,29
Mississippi St.,Texas A&M,48,31
Mississippi St.,Auburn,38,23
Mississippi St.,Kentucky,45,31
Mississippi St.,Arkansas,17,10
Mississippi St.,Tenn.-Martin,45,16
Mississippi St.,Alabama,20,25
Mississippi St.,Vanderbilt,51,0
Mississippi St.,Mississippi,17,31
Mississippi St.,Georgia Tech,34,49
Alabama,West Virginia,33,23
Alabama,Fla. Atlantic,41,0
Alabama,Southern Miss.,52,12
Alabama,Florida,42,21
Alabama,Mississippi,17,23
Alabama,Arkansas,14,13
Alabama,Texas A&M,59,0
Alabama,Tennessee,34,20
Alabama,LSU,20,13
Alabama,Western Caro.,48,14
Alabama,Auburn,55,44
Alabama,Missouri,42,13
Alabama,Ohio St.,35,42
Arkansas,Auburn,21,45
Arkansas,Nicholls St.,73,7
Arkansas,Texas Tech,49,28
Arkansas,Northern Ill.,52,14
Arkansas,Texas A&M,28,35
Arkansas,Georgia,32,45
Arkansas,UAB,45,17
Arkansas,LSU,17,0
Arkansas,Mississippi,30,0
Arkansas,Missouri,14,21
Arkansas,Texas,31,7
Auburn,San Jose St.,59,13
Auburn,Kansas St.,20,14
Auburn,Louisiana Tech,45,17
Auburn,LSU,41,7
Auburn,South Carolina,42,35
Auburn,Mississippi,35,31
Auburn,Texas A&M,38,41
Auburn,Georgia,7,34
Auburn,Samford,31,7
Auburn,Wisconsin,31,34
Florida,Eastern Mich.,65,0
Florida,Kentucky,36,30
Florida,Tennessee,10,9
Florida,LSU,27,30
Florida,Missouri,13,42
Florida,Georgia,38,20
Florida,Vanderbilt,34,10
Florida,South Carolina,20,23
Florida,Eastern Ky.,52,3
Florida,Florida St.,19,24
Florida,East Caro.,28,20
Georgia,Clemson,45,21
Georgia,South Carolina,35,38
Georgia,Troy,66,0
Georgia,Tennessee,35,32
Georgia,Vanderbilt,44,17
Georgia,Missouri,34,0
Georgia,Kentucky,63,31
Georgia,Charleston So.,55,9
Georgia,Georgia Tech,24,30
Georgia,Louisville,37,14
Kentucky,Tenn.-Martin,59,14
Kentucky,Ohio,20,3
Kentucky,Vanderbilt,17,7
Kentucky,South Carolina,45,38
Kentucky,La.-Monroe,48,14
Kentucky,LSU,3,41
Kentucky,Missouri,10,20
Kentucky,Tennessee,16,50
Kentucky,Louisville,40,44
LSU,Wisconsin,28,24
LSU,Sam Houston St.,56,0
LSU,La.-Monroe,31,0
LSU,New Mexico St.,63,7
LSU,Mississippi,10,7
LSU,Texas A&M,23,17
LSU,Notre Dame,28,31
Mississippi,Boise St.,35,13
Mississippi,Vanderbilt,41,3
Mississippi,La.-Lafayette,56,15
Mississippi,Memphis,24,3
Mississippi,Texas A&M,35,20
Mississippi,Tennessee,34,3
Mississippi,Presbyterian,48,0
Mississippi,TCU,3,42
Missouri,South Dakota St.,38,18
Missouri,Toledo,49,24
Missouri,UCF,38,10
Missouri,Indiana,27,31
Missouri,South Carolina,21,20
Missouri,Vanderbilt,24,14
Missouri,Texas A&M,34,27
Missouri,Tennessee,29,21
Missouri,Minnesota,33,17
South Carolina,Texas A&M,28,52
South Carolina,East Caro.,33,23
South Carolina,Vanderbilt,48,34
South Carolina,Furman,41,10
South Carolina,Tennessee,42,45
South Carolina,South Ala.,37,12
South Carolina,Clemson,17,35
South Carolina,Miami (Fla.),24,21
Tennesee,Utah St.,38,7
Tennesee,Arkansas St.,34,19
Tennesee,Oklahoma,10,34
Tennesee,Georgia,32,35
Tennesee,Florida,9,10
Tennesee,Chattanooga,45,10
Tennesee,Mississippi,3,34
Tennesee,Alabama,20,34
Tennesee,South Carolina,45,42
Tennesee,Kentucky,50,16
Tennesee,Missouri,21,29
Tennesee,Vanderbilt,24,17
Tennesee,Iowa,45,28
Texas A&M,Lamar,73,3
Texas A&M,Rice,38,10
Texas A&M,Southern Methodist,58,6
Texas A&M,La.-Monroe,21,16
Texas A&M,West Virginia,45,37
Vanderbilt,Temple,7,37
Vanderbilt,Massachusetts,34,31
Vanderbilt,Charleston So.,21,20
Vanderbilt,Old Dominion,42,28
Vanderbilt,Tennessee,17,24
